"quarter","i_we","log_tenure","log_num_tokens","company","log_network_size","log_clustering","global_reach","user_id","department"
"2011Q3",0.206228500581872,-0.966970997482019,0.699462605445205,"Company_1",0.861136735829706,-2.73613323613128,0.699595110071319,"user_1","Department_1"
"2011Q4",-0.191986157832445,-0.602022918197419,0.6849344300096,"Company_1",0.921929836938012,-2.24570583407251,1.02123384171775,"user_1","Department_1"
"2012Q1",-0.14059411706042,-0.354324812844938,0.591805815883793,"Company_1",0.825402437427064,0.572267643580803,1.09036610941115,"user_1","Department_1"
"2012Q2",-0.31894262516221,-0.166583747840744,0.680499669914934,"Company_1",0.960188929095186,0.500644872876886,1.01834721482893,"user_1","Department_1"
"2012Q3",-0.280623671860445,-0.015357567058186,0.604407465061099,"Company_1",0.908787831508011,0.647253453468407,0.663977069815979,"user_1","Department_1"
"2012Q4",-0.0924494208377367,0.111270962735282,0.689129703377344,"Company_1",0.864629608560899,0.781830380128731,1.09207851519266,"user_1","Department_1"
"2013Q1",-0.100482395157487,0.220195390583614,0.665366666792963,"Company_1",0.918663169864059,0.739752752291214,0.529479827148494,"user_1","Department_1"
"2013Q2",-0.205901551136008,0.315764372250512,0.750848473597439,"Company_1",1.07935653173628,0.263064367957594,0.605950976762637,"user_1","Department_1"
"2013Q3",-0.2285218699306,0.400898170189396,0.814421491470251,"Company_1",1.04897496498111,0.510304233559979,0.667597584896879,"user_1","Department_1"
"2013Q4",-0.134221007141918,0.477652944499505,0.809176826479637,"Company_1",1.05178183841982,0.543109846279803,0.66216681227553,"user_1","Department_1"
"2014Q1",0.139328193491651,0.54753126800647,0.795171544746107,"Company_1",1.13198034617311,0.576648692754025,0.69235407990952,"user_1","Department_1"
"2014Q2",0.0978163036718921,0.61166458821653,0.887725468852313,"Company_1",1.21925891187319,0.641299388759457,0.688831416587563,"user_1","Department_1"
"2014Q3",0.091064734363538,0.67092620481343,0.381858701043326,"Company_1",0.915384010725019,0.036469753636576,0.66309640398549,"user_1","Department_1"
"2014Q4",0.0554601306344302,0.726004280506625,0.553504511822725,"Company_1",1.07117682834617,0.152862247312236,0.770684412943584,"user_1","Department_1"
"2015Q1",0.114453057274618,0.777450736049372,0.502425192682947,"Company_1",1.10607205912923,0.0549685114145467,0.78775954487918,"user_1","Department_1"
"2015Q2",-0.0904762308903298,0.82571499862128,0.317769552923578,"Company_1",1.09014282577881,-0.227363034101179,0.892656630466335,"user_1","Department_1"
"2015Q3",0.214953739203548,0.871167907097635,0.14791946890129,"Company_1",0.832669422189355,-0.430908796629473,0.882871454572011,"user_1","Department_1"
"2015Q4",0.014428205937014,0.914119030173072,0.00797348823650527,"Company_1",0.501112453778621,0.0729959115994562,0.816038703213777,"user_1","Department_1"
"2016Q1",0.158779304381039,0.927926444328173,0.280896008025248,"Company_1",0.72074687591178,-0.0694806748758403,0.64137331350009,"user_1","Department_1"
"2012Q1",-0.0786137221175337,-1.67457292725038,-0.0842286983649304,"Company_1",-0.884321749770073,0.610753471986074,0.790450468250119,"user_2","Department_1"
"2012Q2",-0.148985836846771,-0.966970997482019,0.932120063701729,"Company_1",0.101274487698402,0.753491770016367,0.859240254787218,"user_2","Department_1"
"2012Q3",-0.144726071485059,-0.602022918197419,1.0034788707303,"Company_1",0.562755686222132,0.8322775530038,0.278783620735909,"user_2","Department_1"
"2012Q4",-0.0924652998336693,-0.354324812844938,0.808184590013743,"Company_1",0.350081497138048,0.801172008596348,0.777631887828555,"user_2","Department_1"
"2013Q1",0.0507899082080439,-0.166583747840744,0.96723417254774,"Company_1",0.446125730517111,0.965070607443162,-0.315421185446927,"user_2","Department_1"
"2013Q2",-0.299322358025583,-0.015357567058186,0.97505142620529,"Company_1",0.45178581093453,0.452871112760735,-0.115950374841129,"user_2","Department_1"
"2013Q3",-0.411081547674474,0.111270962735282,0.941388124559356,"Company_1",0.462995108719857,0.614903262068868,-0.0465245518708994,"user_2","Department_1"
"2013Q4",-0.129558035124996,0.220195390583614,1.04875773042536,"Company_1",0.506422062506902,0.71325013409315,-0.480203547507346,"user_2","Department_1"
"2014Q1",-0.421425425228713,0.315764372250512,1.09562847541892,"Company_1",0.665405154065248,0.791567283989025,-0.229115934058988,"user_2","Department_1"
"2014Q2",-0.180967692594394,0.400898170189396,1.19207693433958,"Company_1",1.15215772581603,0.465759213749693,-0.139581574625922,"user_2","Department_1"
"2014Q3",-0.194847073533597,0.477652944499505,0.42149928388022,"Company_1",0.317719200996004,0.090575379395177,-0.272757818547674,"user_2","Department_1"
"2014Q4",-0.168152923431553,0.54753126800647,0.942806066339958,"Company_1",0.55778466319987,0.381784476947112,0.0157580926964746,"user_2","Department_1"
"2015Q1",-0.0957318789403469,0.61166458821653,1.11904232357222,"Company_1",0.620263201566786,0.515084908375492,-0.000387447529160644,"user_2","Department_1"
"2015Q2",0.0679292769725938,0.67092620481343,1.07844923369077,"Company_1",0.724859589166682,0.312332793917925,0.00147173589076118,"user_2","Department_1"
"2015Q3",-0.466924201363099,0.726004280506625,0.700572681622004,"Company_1",0.330811044147487,0.022271206648751,-0.0821915180057105,"user_2","Department_1"
"2015Q4",-0.324339865919355,0.777450736049372,0.745354639605647,"Company_1",0.577498153694408,0.183967791719687,-0.201864219193295,"user_2","Department_1"
"2016Q1",-0.0131128638952651,0.79387265986195,1.22797193591069,"Company_1",0.861136735829706,0.273196338435232,0.285290762705634,"user_2","Department_1"
"2010Q1",-0.434150193441022,-1.36230534097146,0.463882251306082,"Company_1",0.00239554406880333,0.812215176510193,0.261072452367181,"user_3","Department_2"
